,temp_air,ghi,dni,dhi,lwr_u,wind_speed,rh,sp,svp_kPa,delta_kPa_C,avp_kPa,svpdeficit_kPa,net_sw_rad_MJ_m2,out_lw_rad_MJ_m2,net_radiation_MJ_m2,ET_mm,PV_AC_kW
2022-01-01 00:00:00-03:00,19.85,0.0,0.0,0.0,305.92,0.92,60.07,96438.0,2.316657279894076,0.14356900380792662,1.3911887524468747,0.9254685274472014,0.0,0.26383365750429516,-0.26383365750429516,-0.04623974670352085,-0.00033
2022-01-01 01:00:00-03:00,19.06,0.0,0.0,0.0,300.58,0.74,62.1,96410.0,2.205632108485773,0.13753223594159186,1.369246285318047,0.8363858231677259,0.0,0.26295249960029443,-0.26295249960029443,-0.05146276051194047,-0.00033
2022-01-01 02:00:00-03:00,18.27,0.0,0.0,0.0,295.23,0.56,64.12,96410.0,2.0992903090810855,0.1317118073211814,1.3455964831032952,0.7536938259777903,0.0,0.2622197985009861,-0.2622197985009861,-0.05622144777740889,-0.00033
2022-01-01 03:00:00-03:00,17.48,0.0,0.0,0.0,289.89,0.37,66.15,96381.0,1.9974634456256537,0.12610146376158604,1.3208433699719975,0.6766200756536562,0.0,0.2615811686671086,-0.2615811686671086,-0.060806344983098164,-0.00033
2022-01-01 04:00:00-03:00,16.69,0.0,0.0,0.0,284.54,0.19,68.18,96372.0,1.8999879717877965,0.12069508071372849,1.2949293214706552,0.6050586503171413,0.0,0.2610416325769299,-0.2610416325769299,-0.06468398472987648,-0.00033
2022-01-01 05:00:00-03:00,15.79,0.0,0.0,0.0,286.15,0.14,73.8,96352.0,1.7940401438404578,0.11477680707356666,1.3235908935919038,0.470449250248554,0.0,0.255314132724987,-0.255314132724987,-0.0637848654453297,-0.00033
2022-01-01 06:00:00-03:00,15.26,0.0,0.0,0.0,280.15,0.41,75.45,96381.0,1.7341023536887146,0.11140829915313613,1.3079807198196716,0.426121633869043,0.0,0.2547962711730063,-0.2547962711730063,-0.05768131192299234,-0.00033
2022-01-01 07:00:00-03:00,14.78,50.25,0.0,50.25,280.55,0.62,75.95,96410.0,1.6813416021880438,0.10843041819964282,1.2765715951518275,0.40477000703621635,0.17185499999999998,0.2558265195487015,-0.08397151954870152,-0.011872708201757632,0.011177408230443758
2022-01-01 08:00:00-03:00,15.35,60.1,0.0,60.1,288.45,0.07,81.55,96505.0,1.7441549725636465,0.11197431630128628,1.422079464429222,0.3220755081344244,0.205542,0.24541724845986632,-0.039875248459866314,-0.009493656724576438,0.024294692463040963
2022-01-01 09:00:00-03:00,18.23,604.35,1189.09,58.15,287.3,0.97,65.15,96562.0,2.094027400287543,0.1314227420615283,1.3638098322060963,0.7302175680814469,2.0668770000000003,0.2604595227627297,1.8064174772372705,0.4785226683443924,0.3958175998712367
2022-01-01 10:00:00-03:00,20.38,814.15,1168.96,67.5,295.4,1.52,57.95,96505.0,2.3938538237137093,0.14774342339286783,1.386813071505523,1.0070407522081863,2.784393,0.26614177706128533,2.518251222938715,0.680469345103208,0.5776759988537178
2022-01-01 11:00:00-03:00,22.35,970.45,1134.34,74.95,307.15,1.79,51.85,96486.0,2.7008625849234917,0.16417150852897852,1.4000445689558207,1.300818015967671,3.318939,0.2721303535832451,3.0468086464167548,0.8468732693032582,0.6895997308164401
2022-01-01 12:00:00-03:00,24.06,1079.2,1108.78,79.95,317.4,2.0,46.95,96448.0,2.994680435928715,0.1796570219948701,1.4057512370155947,1.5889291989131205,3.690864,0.27794234607684937,3.4129216539231506,0.9738391160961463,0.7552456043609754
2022-01-01 13:00:00-03:00,25.69,1092.95,990.35,135.85,328.95,2.21,41.7,96410.0,3.300330271134923,0.19554687805425539,1.376078437607308,1.924251833527615,3.737889,0.2869622252248648,3.450926774775135,1.0166560015660087,0.7505365484355747
2022-01-01 14:00:00-03:00,26.93,1084.25,1005.78,97.95,339.0,2.34,37.2,96381.0,3.550724526641051,0.20841294216932593,1.3207542463190864,2.2299702803219645,3.7081349999999995,0.2972883255170012,3.410846674482998,1.0330746710694922,0.7395927749711223
2022-01-01 15:00:00-03:00,27.85,862.85,762.46,143.95,341.3,2.41,33.6,96343.0,3.7470421700216288,0.21841239036576388,1.258896117056545,2.488146052965084,2.9509469999999998,0.30735587535966646,2.6435911246403334,0.8420800716939532,0.6053252993967317
2022-01-01 16:00:00-03:00,27.77,789.2,803.37,101.75,346.9,2.55,31.9,96362.0,3.729603880196495,0.2175271680630399,1.1895205216074594,2.5400833585890354,2.699064,0.31439726971723586,2.384666730282764,0.7731378308343959,0.5591143589430492
2022-01-01 17:00:00-03:00,27.38,626.25,724.33,101.05,344.55,2.69,33.1,96333.0,3.6456002132559933,0.21325476460965415,1.2064588431800525,2.439141370075941,2.141775,0.3109624816506601,1.8308125183493398,0.6166514288882005,0.44236557735400434
